country,country_code,year,region,income_group,comparison,comparison_label,first_group,second_group,first_group_rate_pct,second_group_rate_pct,gap_pp,complete_pair,gap_direction
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,9.203526645623947,23.416396469838094,-14.212869824214147,True,second group higher
Algeria,DZA,2021,Middle East & North Africa (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Argentina,ARG,2021,Latin America & Caribbean (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,42.1786099794144,54.7396527318907,-12.561042752476304,True,second group higher
Armenia,ARM,2021,Europe & Central Asia (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,14.2836407259157,21.9881545045384,-7.704513778622701,True,second group higher
Australia,AUS,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Austria,AUT,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Bangladesh,BGD,2021,South Asia (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Belgium,BEL,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Benin,BEN,2021,Sub-Saharan Africa (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Bolivia,BOL,2021,Latin America & Caribbean (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,13.7528323859471,18.4836605593431,-4.7308281733960005,True,second group higher
Bosnia and Herzegovina,BIH,2021,Europe & Central Asia (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,40.2515908714748,24.771987394283094,15.479603477191702,True,first group higher
Brazil,BRA,2021,Latin America & Caribbean (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,51.0779493788416,57.3575416648783,-6.279592286036696,True,second group higher
Bulgaria,BGR,2021,Europe & Central Asia (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,46.575569345850795,72.2421686151947,-25.666599269343905,True,second group higher
Burkina Faso,BFA,2021,Sub-Saharan Africa (excluding high income),Low income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Cambodia,KHM,2021,East Asia & Pacific (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Cameroon,CMR,2021,Sub-Saharan Africa (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Canada,CAN,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Chile,CHL,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
China,CHN,2021,East Asia & Pacific (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,80.5682595364336,86.9594738254628,-6.391214289029193,True,second group higher
Colombia,COL,2021,Latin America & Caribbean (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,20.6255914923994,19.65750935271,0.9680821396894004,True,first group higher
"Congo, Rep.",COG,2021,Sub-Saharan Africa (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Costa Rica,CRI,2021,Latin America & Caribbean (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,35.0171134425289,50.391056877658905,-15.373943435130002,True,second group higher
Cote d'Ivoire,CIV,2021,Sub-Saharan Africa (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Croatia,HRV,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Cyprus,CYP,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Czechia,CZE,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Denmark,DNK,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Dominican Republic,DOM,2021,Latin America & Caribbean (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,14.503394180274002,9.1122511057972,5.391143074476801,True,first group higher
Ecuador,ECU,2021,Latin America & Caribbean (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,16.2222788448346,14.964794447635498,1.2574843971991037,True,first group higher
"Egypt, Arab Rep.",EGY,2021,Middle East & North Africa (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
El Salvador,SLV,2021,Latin America & Caribbean (excluding high income),Lower middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Estonia,EST,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Finland,FIN,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
France,FRA,2021,High income,High income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,,,,False,not comparable
Gabon,GAB,2021,Sub-Saharan Africa (excluding high income),Upper middle income,age,Age 25+ − ages 15–24,age 25+,ages 15-24,18.0794294007564,16.8476636319851,1.2317657687713002,True,first group higher
