country,country_code,year,region,income_group,comparison_group,population_group,merchant_pay_pct
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,age_cat,age 25+,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,age_cat,ages 15-24,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,all,all,0.0
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,education,prim edu or less,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,education,secondary edu or more,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,gender,men,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,gender,women,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,income,poorest 40%,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,income,richest 60%,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,laborforce,in laborforce,
Afghanistan,AFG,2021,South Asia (excluding high income),Low income,laborforce,out of laborforce,
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,age_cat,age 25+,9.203526645623949
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,age_cat,ages 15-24,23.416396469838098
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,all,all,12.3007913070125
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,education,prim edu or less,6.4437013600094195
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,education,secondary edu or more,19.6557439105598
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,gender,men,10.6943970165041
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,gender,women,13.829268902261799
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,income,poorest 40%,4.35875921844506
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,income,richest 60%,17.5777076041755
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,laborforce,in laborforce,21.5646778076623
Albania,ALB,2021,Europe & Central Asia (excluding high income),Upper middle income,laborforce,out of laborforce,5.428642053720701
Albania,ALB,2024,Europe & Central Asia (excluding high income),Upper middle income,age_cat,age 25+,10.936988891791
Albania,ALB,2024,Europe & Central Asia (excluding high income),Upper middle income,age_cat,ages 15-24,12.0109065691254
Albania,ALB,2024,Europe & Central Asia (excluding high income),Upper middle income,all,all,11.0835849125375
Albania,ALB,2024,Europe & Central Asia (excluding high income),Upper middle income,education,prim edu or less,2.0643436270063003
Albania,ALB,2024,Europe & Central Asia (excluding high income),Upper middle income,education,secondary edu or more,18.4467217818429
Albania,ALB,2024,Europe & Central Asia (excluding high income),Upper middle income,gender,men,11.8239641463479
Albania,ALB,2024,Europe & Central Asia (excluding high income),Upper middle income,gender,women,10.4076520826684
