country,country_code,region,income_group,income_gap_2021_pp,income_gap_2024_pp,income_gap_change_pp,income_gap_widened,income_gap_change_direction,payment_change_pp,growth_third
Afghanistan,AFG,South Asia (excluding high income),Low income,,,,,not comparable,,
Albania,ALB,Europe & Central Asia (excluding high income),Upper middle income,13.21894838573044,10.86628444860925,-2.352663937121191,False,narrowed,-1.2172063944749993,slowest-growing third
Algeria,DZA,Middle East & North Africa (excluding high income),Lower middle income,,,,,not comparable,1.67388735712467,
Argentina,ARG,Latin America & Caribbean (excluding high income),Upper middle income,20.441665254147196,16.119216010933705,-4.322449243213491,False,narrowed,15.481269941830803,fastest-growing third
Armenia,ARM,Europe & Central Asia (excluding high income),Upper middle income,8.6385379554637,12.273487719187496,3.634949763723796,True,widened,18.0625928061747,fastest-growing third
Australia,AUS,High income,High income,,,,,not comparable,,
Austria,AUT,High income,High income,,,,,not comparable,,
Azerbaijan,AZE,Europe & Central Asia (excluding high income),Upper middle income,,26.209250718819003,,,not comparable,,
Bahrain,BHR,High income,High income,,,,,not comparable,,
Bangladesh,BGD,South Asia (excluding high income),Lower middle income,,,,,not comparable,-0.01964902534583013,
Belgium,BEL,High income,High income,,,,,not comparable,,
Belize,BLZ,Latin America & Caribbean (excluding high income),Upper middle income,,14.020638469418099,,,not comparable,,
Benin,BEN,Sub-Saharan Africa (excluding high income),Lower middle income,,,,,not comparable,1.99480343293179,
Bolivia,BOL,Latin America & Caribbean (excluding high income),Lower middle income,15.40033763255101,14.485573860899699,-0.9147637716513106,False,narrowed,5.3687581459958,middle third
Bosnia and Herzegovina,BIH,Europe & Central Asia (excluding high income),Upper middle income,26.9145918077077,17.022738769603603,-9.891853038104099,False,narrowed,-5.901995246184999,slowest-growing third
Botswana,BWA,Sub-Saharan Africa (excluding high income),Upper middle income,,23.417402126660797,,,not comparable,,
Brazil,BRA,Latin America & Caribbean (excluding high income),Upper middle income,24.211994785625805,19.832179789943503,-4.3798149956823025,False,narrowed,7.730729796662807,middle third
Bulgaria,BGR,Europe & Central Asia (excluding high income),Upper middle income,32.0694842128092,25.996540528694197,-6.072943684115003,False,narrowed,5.561898229426397,middle third
Burkina Faso,BFA,Sub-Saharan Africa (excluding high income),Low income,,11.83942662248963,,,not comparable,6.6578859710527905,
Cambodia,KHM,East Asia & Pacific (excluding high income),Lower middle income,,12.6960039198195,,,not comparable,17.011921724807102,
Cameroon,CMR,Sub-Saharan Africa (excluding high income),Lower middle income,,16.165641453510297,,,not comparable,11.418181655696637,
Canada,CAN,High income,High income,,,,,not comparable,,
Chad,TCD,Sub-Saharan Africa (excluding high income),Low income,,,,,not comparable,,
Chile,CHL,High income,High income,,,,,not comparable,,
China,CHN,East Asia & Pacific (excluding high income),Upper middle income,15.9242217386591,19.087655105084195,3.163433366425096,True,widened,-1.936595130959688,slowest-growing third
Colombia,COL,Latin America & Caribbean (excluding high income),Upper middle income,24.7788202295301,20.0389685434154,-4.739851686114701,False,narrowed,5.717857139937898,middle third
Comoros,COM,Sub-Saharan Africa (excluding high income),Lower middle income,,,,,not comparable,,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa (excluding high income),Low income,,,,,not comparable,,
"Congo, Rep.",COG,Sub-Saharan Africa (excluding high income),Lower middle income,,,,,not comparable,2.3300596779560596,
Costa Rica,CRI,Latin America & Caribbean (excluding high income),Upper middle income,28.2034288889111,23.131586865857884,-5.071842023053215,False,narrowed,8.415896805073693,fastest-growing third
Cote d'Ivoire,CIV,Sub-Saharan Africa (excluding high income),Lower middle income,,,,,not comparable,3.3626249818218312,
Croatia,HRV,High income,High income,,10.381260935565706,,,not comparable,,
Cyprus,CYP,High income,High income,,,,,not comparable,,
Czechia,CZE,High income,High income,,,,,not comparable,,
Denmark,DNK,High income,High income,,,,,not comparable,,
Dominican Republic,DOM,Latin America & Caribbean (excluding high income),Upper middle income,15.540326940491463,27.294637113491603,11.75431017300014,True,widened,14.4239853829388,fastest-growing third
Ecuador,ECU,Latin America & Caribbean (excluding high income),Upper middle income,18.1256884865242,19.4061924564424,1.2805039699182004,True,widened,4.9249579203323,middle third
"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),Lower middle income,,,,,not comparable,1.7185188691770104,
El Salvador,SLV,Latin America & Caribbean (excluding high income),Lower middle income,,,,,not comparable,0.12806561738489997,
Estonia,EST,High income,High income,,,,,not comparable,,
Eswatini,SWZ,Sub-Saharan Africa (excluding high income),Lower middle income,,9.935565028584499,,,not comparable,,
Ethiopia,ETH,Sub-Saharan Africa (excluding high income),Low income,,,,,not comparable,,
Finland,FIN,High income,High income,,,,,not comparable,,
France,FRA,High income,High income,,,,,not comparable,,
Gabon,GAB,Sub-Saharan Africa (excluding high income),Upper middle income,0.5003090009441991,6.948222703520901,6.447913702576702,True,widened,2.406006039784998,middle third
"Gambia, The",GMB,Sub-Saharan Africa (excluding high income),Low income,,,,,not comparable,,
Georgia,GEO,Europe & Central Asia (excluding high income),Upper middle income,22.0423171716678,28.4429444289404,6.4006272572726,True,widened,16.501107707717196,fastest-growing third
Germany,DEU,High income,High income,,,,,not comparable,,
Ghana,GHA,Sub-Saharan Africa (excluding high income),Lower middle income,11.810311143634149,12.065776079955697,0.2554649363215482,True,widened,12.399251727249998,fastest-growing third
